Flight Number,Date,Origin,Destination,Scheduled Departure Time,,Actual Departure Time,,Scheduled Arrival Time,,Actual Arrival Time,,Flight Duration,Delay (in minutes),Cancellation,Reason for Delay,Number of Passengers,Customer Satisfaction Score
SH2424,10-02-2024,MIA,JFK,01-01-2023 21:08,,01-01-2023 21:51,,02-01-2023 00:24,,02-01-2023 01:41,,196,77,No,Air Traffic,218,7
SH6455,10-03-2025,DEN,SEA,01-01-2023 18:21,,01-01-2023 19:34,,01-01-2023 23:44,,02-01-2023 00:27,,323,43,No,Air Traffic,295,5
SH4625,12-07-2023,LAX,ATL,01-01-2023 08:40,,01-01-2023 08:56,,01-01-2023 11:47,,01-01-2023 12:39,,187,52,No,Crew Unavailability,150,8
SH0468,03-01-2025,SEA,SFO,01-01-2023 22:02,,01-01-2023 23:52,,02-01-2023 00:38,,02-01-2023 02:04,,156,86,No,Crew Unavailability,68,5
SH9084,06-02-2023,ORD,LAS,01-01-2023 21:16,,01-01-2023 21:26,,02-01-2023 02:45,,02-01-2023 03:53,,329,68,No,Weather,68,1
SH2797,02-04-2024,ORD,DEN,01-01-2023 08:09,,01-01-2023 08:54,,01-01-2023 10:32,,01-01-2023 10:40,,143,8,No,Air Traffic,282,3
SH6829,14-12-2023,JFK,JFK,01-01-2023 14:52,,01-01-2023 15:37,,01-01-2023 20:48,,01-01-2023 21:37,,356,49,No,Technical Issue,295,10
SH8433,22-05-2024,DFW,MIA,01-01-2023 01:07,,01-01-2023 02:35,,01-01-2023 06:08,,01-01-2023 07:14,,301,66,No,Weather,214,5
SH9644,12-06-2023,LAX,DEN,01-01-2023 07:59,,01-01-2023 09:11,,01-01-2023 09:39,,01-01-2023 11:32,,100,113,No,None,144,4
SH1422,28-07-2023,SEA,LAS,01-01-2023 05:36,,01-01-2023 07:08,,01-01-2023 08:36,,01-01-2023 08:36,,180,0,Yes,None,134,5
SH7128,18-03-2024,DFW,SEA,01-01-2023 23:03,,02-01-2023 00:03,,02-01-2023 00:26,,02-01-2023 01:23,,83,57,No,Air Traffic,256,9
SH5402,16-11-2023,MIA,SFO,01-01-2023 15:53,,01-01-2023 17:37,,01-01-2023 17:05,,01-01-2023 17:13,,72,8,No,Crew Unavailability,132,2
SH0515,09-06-2025,LAS,DEN,01-01-2023 03:10,,01-01-2023 04:41,,01-01-2023 06:21,,01-01-2023 07:05,,191,44,No,Air Traffic,297,2
SH0440,20-02-2024,SFO,DEN,01-01-2023 18:58,,01-01-2023 19:31,,01-01-2023 22:41,,01-01-2023 23:52,,223,71,No,Crew Unavailability,240,1
SH2179,13-07-2023,LAS,MIA,01-01-2023 03:08,,01-01-2023 04:46,,01-01-2023 07:30,,01-01-2023 07:40,,262,10,No,Air Traffic,241,4
SH8434,28-01-2025,LAX,LAX,01-01-2023 10:07,,01-01-2023 10:24,,01-01-2023 15:52,,01-01-2023 16:39,,345,47,No,Technical Issue,247,4
SH2625,12-06-2024,LAX,LAS,01-01-2023 21:03,,01-01-2023 21:44,,01-01-2023 23:06,,01-01-2023 23:22,,123,16,No,None,245,4
SH3215,12-03-2023,LAS,SFO,01-01-2023 06:59,,01-01-2023 08:21,,01-01-2023 12:38,,01-01-2023 13:32,,339,54,No,Weather,86,7
SH9231,03-10-2023,ORD,LAS,01-01-2023 02:51,,01-01-2023 03:26,,01-01-2023 05:14,,01-01-2023 05:47,,143,33,No,Crew Unavailability,237,4
SH1962,16-02-2024,ORD,JFK,01-01-2023 03:16,,01-01-2023 03:26,,01-01-2023 05:53,,01-01-2023 06:42,,157,49,No,None,144,9
SH1329,26-05-2023,ATL,JFK,01-01-2023 23:45,,02-01-2023 01:42,,02-01-2023 03:20,,02-01-2023 05:02,,215,102,No,Crew Unavailability,295,7
SH3389,23-01-2023,LAX,ATL,01-01-2023 13:31,,01-01-2023 14:05,,01-01-2023 16:06,,01-01-2023 16:31,,155,25,No,Technical Issue,88,4
SH8077,27-05-2025,SFO,SEA,01-01-2023 16:45,,01-01-2023 18:29,,01-01-2023 17:52,,01-01-2023 18:13,,67,21,No,Weather,157,10
SH4733,03-03-2025,ORD,SEA,01-01-2023 19:23,,01-01-2023 20:10,,01-01-2023 20:56,,01-01-2023 22:25,,93,89,No,Crew Unavailability,201,7
SH4190,29-08-2025,LAX,ATL,01-01-2023 16:13,,01-01-2023 17:07,,01-01-2023 18:01,,01-01-2023 18:18,,108,17,No,Air Traffic,245,2
SH7272,02-07-2024,SEA,LAX,01-01-2023 20:56,,01-01-2023 22:12,,01-01-2023 22:33,,02-01-2023 00:24,,97,111,No,None,241,10
SH9779,01-06-2025,DEN,SFO,01-01-2023 04:55,,01-01-2023 05:31,,01-01-2023 06:14,,01-01-2023 08:09,,79,115,No,Crew Unavailability,298,5
SH0527,06-09-2024,ORD,ATL,01-01-2023 03:15,,01-01-2023 04:27,,01-01-2023 07:12,,01-01-2023 08:10,,237,58,No,None,73,5
SH7144,23-02-2025,SEA,MIA,01-01-2023 14:17,,01-01-2023 14:33,,01-01-2023 16:50,,01-01-2023 17:27,,153,37,No,Crew Unavailability,270,7
SH2800,20-12-2023,LAX,LAX,01-01-2023 02:57,,01-01-2023 04:06,,01-01-2023 06:50,,01-01-2023 07:14,,233,24,No,Crew Unavailability,175,1
SH8357,28-07-2025,JFK,ATL,01-01-2023 16:54,,01-01-2023 17:55,,01-01-2023 20:25,,01-01-2023 22:01,,211,96,No,Weather,125,4
SH6490,28-06-2025,ORD,ORD,01-01-2023 19:22,,01-01-2023 20:08,,02-01-2023 00:51,,02-01-2023 02:50,,329,119,No,Air Traffic,88,7
SH7354,09-08-2024,ORD,LAS,01-01-2023 18:35,,01-01-2023 19:19,,01-01-2023 20:29,,01-01-2023 20:49,,114,20,No,Weather,221,5
SH3350,01-03-2025,DFW,DFW,01-01-2023 13:13,,01-01-2023 14:08,,01-01-2023 15:00,,01-01-2023 16:55,,107,115,No,None,276,2
SH2841,08-02-2023,JFK,MIA,01-01-2023 15:23,,01-01-2023 16:28,,01-01-2023 20:25,,01-01-2023 20:37,,302,12,No,Crew Unavailability,97,3
SH0375,31-10-2023,SFO,LAX,01-01-2023 03:53,,01-01-2023 05:46,,01-01-2023 06:41,,01-01-2023 07:48,,168,67,No,Weather,172,5
SH1741,29-11-2023,JFK,LAX,01-01-2023 03:33,,01-01-2023 04:17,,01-01-2023 05:26,,01-01-2023 05:59,,113,33,No,Crew Unavailability,75,2
SH9458,31-01-2024,SEA,DEN,01-01-2023 13:58,,01-01-2023 15:34,,01-01-2023 18:11,,01-01-2023 18:35,,253,24,No,None,228,1
SH9880,07-04-2024,ATL,MIA,01-01-2023 03:36,,01-01-2023 03:42,,01-01-2023 05:20,,01-01-2023 06:17,,104,57,No,Technical Issue,173,7
SH1379,02-03-2024,LAX,LAS,01-01-2023 08:03,,01-01-2023 09:45,,01-01-2023 11:45,,01-01-2023 13:16,,222,91,No,Weather,173,4
SH2945,05-05-2025,DFW,SEA,01-01-2023 04:18,,01-01-2023 04:26,,01-01-2023 08:31,,01-01-2023 08:41,,253,10,No,Air Traffic,65,10
SH3800,23-08-2025,JFK,ATL,01-01-2023 12:25,,01-01-2023 12:45,,01-01-2023 16:22,,01-01-2023 17:28,,237,66,No,Air Traffic,104,9
SH9198,04-05-2023,SFO,MIA,01-01-2023 00:12,,01-01-2023 00:18,,01-01-2023 05:00,,01-01-2023 05:21,,288,21,No,Technical Issue,187,3
SH3447,22-03-2025,ATL,JFK,01-01-2023 03:55,,01-01-2023 04:49,,01-01-2023 06:46,,01-01-2023 08:00,,171,74,No,Weather,231,7
SH2678,08-05-2025,ORD,SEA,01-01-2023 10:52,,01-01-2023 11:19,,01-01-2023 13:41,,01-01-2023 14:38,,169,57,No,Weather,231,4
SH3169,26-06-2023,MIA,SFO,01-01-2023 15:34,,01-01-2023 16:39,,01-01-2023 17:16,,01-01-2023 17:21,,102,5,No,Crew Unavailability,265,7
SH5269,16-03-2023,SEA,SFO,01-01-2023 14:48,,01-01-2023 14:52,,01-01-2023 18:11,,01-01-2023 19:40,,203,89,No,Crew Unavailability,288,6
SH4395,04-04-2023,LAS,DEN,01-01-2023 11:48,,01-01-2023 11:49,,01-01-2023 17:00,,01-01-2023 18:22,,312,82,No,Technical Issue,287,10
SH2770,26-08-2024,LAX,MIA,01-01-2023 08:42,,01-01-2023 09:46,,01-01-2023 12:19,,01-01-2023 14:04,,217,105,No,Weather,231,1
SH5677,18-05-2025,LAS,JFK,01-01-2023 01:59,,01-01-2023 02:55,,01-01-2023 04:26,,01-01-2023 05:45,,147,79,No,Weather,52,4
SH4467,17-05-2023,SEA,JFK,01-01-2023 22:48,,02-01-2023 00:02,,02-01-2023 02:29,,02-01-2023 02:43,,221,14,No,Technical Issue,121,8
SH8483,04-04-2024,LAS,SEA,01-01-2023 13:58,,01-01-2023 14:45,,01-01-2023 15:28,,01-01-2023 17:08,,90,100,No,Weather,288,1
SH8476,02-02-2023,DEN,MIA,01-01-2023 19:56,,01-01-2023 20:04,,01-01-2023 22:49,,01-01-2023 23:25,,173,36,No,Crew Unavailability,75,3
SH8112,17-06-2024,MIA,JFK,01-01-2023 17:22,,01-01-2023 18:01,,01-01-2023 19:39,,01-01-2023 19:53,,137,14,No,Crew Unavailability,232,10
SH6030,21-05-2025,ATL,JFK,01-01-2023 05:07,,01-01-2023 05:27,,01-01-2023 10:46,,01-01-2023 11:34,,339,48,No,Crew Unavailability,50,3
SH8848,08-08-2023,DFW,LAX,01-01-2023 05:06,,01-01-2023 06:26,,01-01-2023 09:37,,01-01-2023 09:57,,271,20,No,Air Traffic,200,8
SH1979,22-09-2023,SEA,ATL,01-01-2023 00:51,,01-01-2023 01:35,,01-01-2023 03:55,,01-01-2023 04:08,,184,13,No,Technical Issue,118,4
SH7468,25-08-2025,ATL,JFK,01-01-2023 00:13,,01-01-2023 01:51,,01-01-2023 05:52,,01-01-2023 06:26,,339,34,No,Technical Issue,261,1
SH5067,10-05-2023,LAX,SFO,01-01-2023 07:23,,01-01-2023 09:06,,01-01-2023 10:03,,01-01-2023 11:14,,160,71,No,None,197,5
SH3975,09-01-2025,JFK,DFW,01-01-2023 21:41,,01-01-2023 22:03,,02-01-2023 02:56,,02-01-2023 03:00,,315,4,No,Technical Issue,54,7
SH3672,08-10-2024,DFW,LAX,01-01-2023 22:07,,01-01-2023 23:02,,01-01-2023 23:37,,02-01-2023 00:50,,90,73,Yes,Crew Unavailability,128,2
SH7898,07-07-2023,LAS,LAX,01-01-2023 05:52,,01-01-2023 07:49,,01-01-2023 10:18,,01-01-2023 11:59,,266,101,No,Crew Unavailability,68,2
SH0005,03-09-2024,DEN,LAS,01-01-2023 16:53,,01-01-2023 17:26,,01-01-2023 20:07,,01-01-2023 20:35,,194,28,No,Air Traffic,299,7
SH0260,09-08-2024,LAX,DFW,01-01-2023 10:15,,01-01-2023 11:11,,01-01-2023 15:03,,01-01-2023 16:30,,288,87,Yes,Technical Issue,267,6
SH3453,21-04-2023,ATL,SEA,01-01-2023 07:55,,01-01-2023 08:03,,01-01-2023 10:58,,01-01-2023 12:37,,183,99,No,Crew Unavailability,169,1
SH2665,15-07-2024,LAX,LAS,01-01-2023 01:42,,01-01-2023 02:16,,01-01-2023 02:50,,01-01-2023 03:03,,68,13,No,Weather,109,1
SH9087,31-10-2024,DEN,LAX,01-01-2023 06:02,,01-01-2023 07:41,,01-01-2023 10:09,,01-01-2023 10:40,,247,31,No,Weather,206,3
SH5570,09-07-2024,ATL,ORD,01-01-2023 20:30,,01-01-2023 22:11,,01-01-2023 22:25,,01-01-2023 23:12,,115,47,No,Weather,294,7
SH2385,21-09-2025,SFO,ORD,01-01-2023 17:49,,01-01-2023 19:28,,01-01-2023 18:55,,01-01-2023 19:35,,66,40,No,Technical Issue,265,2
SH6098,07-01-2024,JFK,MIA,01-01-2023 19:34,,01-01-2023 20:49,,01-01-2023 22:39,,01-01-2023 23:46,,185,67,No,Weather,240,3
SH7784,29-10-2023,JFK,ATL,01-01-2023 09:17,,01-01-2023 10:21,,01-01-2023 10:19,,01-01-2023 10:58,,62,39,No,Weather,238,8
SH2448,27-12-2024,DEN,SEA,01-01-2023 17:28,,01-01-2023 19:23,,01-01-2023 20:27,,01-01-2023 22:19,,179,112,No,Weather,138,3
SH6551,10-11-2023,DFW,DEN,01-01-2023 12:00,,01-01-2023 12:13,,01-01-2023 17:15,,01-01-2023 18:40,,315,85,No,Air Traffic,124,9
SH1923,15-04-2025,SFO,LAS,01-01-2023 05:00,,01-01-2023 05:25,,01-01-2023 08:48,,01-01-2023 10:34,,228,106,No,None,87,5
SH2121,02-04-2023,SFO,ORD,01-01-2023 06:39,,01-01-2023 06:40,,01-01-2023 09:09,,01-01-2023 09:12,,150,3,No,Technical Issue,178,6
SH7275,12-04-2025,DFW,LAX,01-01-2023 23:10,,02-01-2023 00:42,,02-01-2023 04:42,,02-01-2023 06:08,,332,86,No,Air Traffic,203,5
SH6780,28-02-2025,DFW,MIA,01-01-2023 14:37,,01-01-2023 15:17,,01-01-2023 17:53,,01-01-2023 18:30,,196,37,No,Weather,143,6
SH0110,26-02-2023,SFO,SEA,01-01-2023 13:35,,01-01-2023 13:43,,01-01-2023 15:32,,01-01-2023 16:21,,117,49,No,Air Traffic,160,3
SH0998,06-08-2025,DFW,LAS,01-01-2023 16:36,,01-01-2023 16:44,,01-01-2023 18:24,,01-01-2023 19:51,,108,87,No,Air Traffic,282,1
SH6992,10-04-2025,LAS,ORD,01-01-2023 21:27,,01-01-2023 22:06,,02-01-2023 02:31,,02-01-2023 03:51,,304,80,No,None,179,7
SH0875,18-01-2025,DFW,JFK,01-01-2023 22:51,,01-01-2023 23:14,,02-01-2023 00:56,,02-01-2023 02:23,,125,87,No,Crew Unavailability,250,6
SH0407,09-09-2023,MIA,MIA,01-01-2023 22:01,,01-01-2023 22:14,,02-01-2023 01:29,,02-01-2023 02:31,,208,62,No,Crew Unavailability,229,5
SH3361,22-05-2024,ORD,SFO,01-01-2023 23:30,,02-01-2023 00:23,,02-01-2023 03:51,,02-01-2023 05:15,,261,84,No,Weather,143,8
SH6121,18-03-2023,ATL,LAS,01-01-2023 01:01,,01-01-2023 01:44,,01-01-2023 02:50,,01-01-2023 03:25,,109,35,No,None,230,6
SH8519,02-09-2023,ORD,SFO,01-01-2023 21:40,,01-01-2023 22:49,,02-01-2023 00:06,,02-01-2023 01:04,,146,58,No,Technical Issue,293,4
SH4744,15-02-2024,LAX,SEA,01-01-2023 09:54,,01-01-2023 11:43,,01-01-2023 12:42,,01-01-2023 13:27,,168,45,Yes,Air Traffic,126,10
SH2323,21-03-2025,LAS,MIA,01-01-2023 04:20,,01-01-2023 04:39,,01-01-2023 07:04,,01-01-2023 07:40,,164,36,No,None,56,4
SH3664,23-05-2025,SEA,JFK,01-01-2023 10:47,,01-01-2023 11:46,,01-01-2023 14:37,,01-01-2023 15:18,,230,41,No,Weather,102,9
SH9598,25-09-2025,DEN,LAS,01-01-2023 23:53,,02-01-2023 00:11,,02-01-2023 04:28,,02-01-2023 06:13,,275,105,No,Air Traffic,65,5
SH1447,26-03-2023,ORD,ATL,01-01-2023 07:04,,01-01-2023 08:39,,01-01-2023 11:29,,01-01-2023 13:29,,265,120,No,Air Traffic,277,6
SH6460,02-10-2023,ATL,LAS,01-01-2023 14:21,,01-01-2023 16:11,,01-01-2023 19:53,,01-01-2023 20:00,,332,7,No,Air Traffic,212,6
SH8186,01-08-2023,SEA,DEN,01-01-2023 10:26,,01-01-2023 11:46,,01-01-2023 12:33,,01-01-2023 14:09,,127,96,No,Weather,166,6
SH0523,27-06-2025,DFW,MIA,01-01-2023 13:25,,01-01-2023 14:23,,01-01-2023 18:49,,01-01-2023 19:48,,324,59,No,Technical Issue,246,5
SH6931,08-12-2024,LAS,DEN,01-01-2023 21:23,,01-01-2023 22:39,,02-01-2023 00:09,,02-01-2023 01:11,,166,62,No,Air Traffic,102,8
SH8332,27-07-2024,DEN,MIA,01-01-2023 16:54,,01-01-2023 18:26,,01-01-2023 20:39,,01-01-2023 21:37,,225,58,No,None,153,7
SH1303,09-12-2024,JFK,JFK,01-01-2023 06:18,,01-01-2023 06:55,,01-01-2023 09:30,,01-01-2023 09:37,,192,7,No,None,154,2
SH5138,24-02-2025,ORD,MIA,01-01-2023 03:43,,01-01-2023 04:10,,01-01-2023 08:19,,01-01-2023 09:23,,276,64,No,None,246,6
SH9493,23-05-2025,SFO,LAS,01-01-2023 05:47,,01-01-2023 06:35,,01-01-2023 07:17,,01-01-2023 07:35,,90,18,No,Technical Issue,135,5
SH6607,18-06-2025,LAX,ATL,01-01-2023 11:01,,01-01-2023 11:28,,01-01-2023 16:53,,01-01-2023 18:17,,352,84,No,Technical Issue,153,8
SH9009,31-10-2024,JFK,DEN,01-01-2023 05:43,,01-01-2023 07:42,,01-01-2023 09:55,,01-01-2023 11:02,,252,67,No,Technical Issue,141,6
SH0154,02-02-2025,DFW,ORD,01-01-2023 23:22,,01-01-2023 23:47,,02-01-2023 03:23,,02-01-2023 04:51,,241,88,No,Weather,124,6
SH3940,08-10-2023,LAS,SEA,01-01-2023 20:39,,01-01-2023 21:59,,02-01-2023 02:13,,02-01-2023 03:22,,334,69,No,Crew Unavailability,246,1
SH0127,11-06-2025,JFK,LAS,01-01-2023 07:00,,01-01-2023 07:45,,01-01-2023 11:10,,01-01-2023 11:21,,250,11,No,None,250,8
SH9144,19-02-2024,ORD,ORD,01-01-2023 09:32,,01-01-2023 10:38,,01-01-2023 12:15,,01-01-2023 14:04,,163,109,No,Weather,274,10
SH9179,16-01-2024,SFO,DFW,01-01-2023 00:38,,01-01-2023 01:22,,01-01-2023 04:45,,01-01-2023 05:13,,247,28,No,Weather,127,3
SH5661,31-07-2025,SEA,ORD,01-01-2023 18:53,,01-01-2023 19:26,,01-01-2023 22:24,,02-01-2023 00:06,,211,102,No,Technical Issue,144,3
SH3520,17-08-2024,DEN,DFW,01-01-2023 04:38,,01-01-2023 06:11,,01-01-2023 08:49,,01-01-2023 10:39,,251,110,No,None,235,4
SH3516,22-01-2025,SFO,LAX,01-01-2023 15:04,,01-01-2023 15:38,,01-01-2023 19:46,,01-01-2023 20:53,,282,67,No,Weather,292,3
SH1602,19-01-2023,LAX,SFO,01-01-2023 13:50,,01-01-2023 15:41,,01-01-2023 15:19,,01-01-2023 16:31,,89,72,No,Weather,262,7
SH6314,01-05-2023,SEA,ATL,01-01-2023 08:35,,01-01-2023 09:22,,01-01-2023 10:57,,01-01-2023 11:45,,142,48,No,Weather,207,9
SH4849,16-05-2025,ATL,ATL,01-01-2023 11:40,,01-01-2023 13:29,,01-01-2023 12:55,,01-01-2023 14:19,,75,84,No,None,171,2
SH2870,27-07-2025,DEN,DEN,01-01-2023 21:41,,01-01-2023 23:09,,02-01-2023 03:39,,02-01-2023 04:31,,358,52,No,None,81,1
SH6168,10-07-2025,SFO,ATL,01-01-2023 01:25,,01-01-2023 03:16,,01-01-2023 04:26,,01-01-2023 04:46,,181,20,No,Crew Unavailability,142,4
SH0394,12-02-2024,ORD,LAS,01-01-2023 03:31,,01-01-2023 05:00,,01-01-2023 07:38,,01-01-2023 09:29,,247,111,No,Weather,216,6
SH4542,31-12-2024,MIA,LAX,01-01-2023 01:53,,01-01-2023 02:14,,01-01-2023 07:36,,01-01-2023 09:21,,343,105,No,Crew Unavailability,176,3
SH5454,07-03-2024,LAS,ORD,01-01-2023 21:41,,01-01-2023 22:33,,02-01-2023 01:04,,02-01-2023 02:50,,203,106,No,Technical Issue,215,4
SH3576,16-11-2024,LAS,MIA,01-01-2023 05:22,,01-01-2023 05:32,,01-01-2023 10:01,,01-01-2023 11:43,,279,102,Yes,None,268,2
SH9749,20-02-2025,ORD,JFK,01-01-2023 16:22,,01-01-2023 16:43,,01-01-2023 18:42,,01-01-2023 18:51,,140,9,No,Air Traffic,297,5
SH7340,13-09-2024,SFO,LAX,01-01-2023 00:35,,01-01-2023 01:42,,01-01-2023 04:16,,01-01-2023 05:17,,221,61,No,Weather,230,8
SH4396,18-02-2025,JFK,SEA,01-01-2023 15:14,,01-01-2023 15:22,,01-01-2023 18:21,,01-01-2023 18:52,,187,31,No,Air Traffic,185,6
SH6540,06-11-2023,DFW,LAS,01-01-2023 02:16,,01-01-2023 03:28,,01-01-2023 05:08,,01-01-2023 05:08,,172,0,No,Weather,165,7
SH4821,25-10-2023,ORD,DFW,01-01-2023 20:59,,01-01-2023 21:56,,02-01-2023 01:07,,02-01-2023 02:45,,248,98,No,Crew Unavailability,104,8
SH6542,28-01-2023,MIA,LAX,01-01-2023 10:55,,01-01-2023 10:56,,01-01-2023 15:05,,01-01-2023 15:33,,250,28,No,Air Traffic,148,5
SH4679,28-05-2024,LAS,JFK,01-01-2023 16:43,,01-01-2023 17:35,,01-01-2023 18:16,,01-01-2023 19:48,,93,92,No,Weather,76,8
SH4293,15-02-2023,SEA,SFO,01-01-2023 10:15,,01-01-2023 10:33,,01-01-2023 12:49,,01-01-2023 13:50,,154,61,No,Technical Issue,86,4
SH0295,21-10-2024,SEA,JFK,01-01-2023 05:11,,01-01-2023 06:37,,01-01-2023 10:40,,01-01-2023 12:32,,329,112,No,Weather,167,9
SH6969,31-08-2024,ORD,SFO,01-01-2023 09:43,,01-01-2023 09:50,,01-01-2023 11:54,,01-01-2023 12:07,,131,13,No,Technical Issue,203,4
SH2159,28-05-2024,JFK,SEA,01-01-2023 23:47,,02-01-2023 00:08,,02-01-2023 04:00,,02-01-2023 05:18,,253,78,No,Crew Unavailability,61,1
SH8043,01-06-2024,MIA,SEA,01-01-2023 03:02,,01-01-2023 03:10,,01-01-2023 05:53,,01-01-2023 07:01,,171,68,No,Technical Issue,178,5
SH4442,17-01-2025,JFK,SEA,01-01-2023 14:22,,01-01-2023 15:32,,01-01-2023 16:02,,01-01-2023 17:03,,100,61,No,Air Traffic,239,7
SH9232,13-12-2023,ATL,DFW,01-01-2023 17:31,,01-01-2023 18:23,,01-01-2023 18:58,,01-01-2023 20:06,,87,68,No,Air Traffic,180,9
SH2244,14-03-2023,SEA,LAS,01-01-2023 17:00,,01-01-2023 17:12,,01-01-2023 22:39,,01-01-2023 22:39,,339,0,No,None,53,10
SH9542,30-01-2023,ATL,SFO,01-01-2023 21:28,,01-01-2023 22:57,,02-01-2023 02:52,,02-01-2023 04:28,,324,96,No,Technical Issue,105,9
SH4393,05-03-2023,ORD,LAS,01-01-2023 11:29,,01-01-2023 12:54,,01-01-2023 16:39,,01-01-2023 17:49,,310,70,No,Crew Unavailability,116,1
SH1024,03-02-2023,DFW,DEN,01-01-2023 17:54,,01-01-2023 19:06,,01-01-2023 22:37,,01-01-2023 22:53,,283,16,No,Weather,159,9
SH8636,31-07-2024,JFK,DEN,01-01-2023 10:05,,01-01-2023 10:35,,01-01-2023 15:45,,01-01-2023 16:33,,340,48,Yes,Air Traffic,264,2
SH9628,30-04-2025,MIA,ATL,01-01-2023 05:20,,01-01-2023 06:01,,01-01-2023 06:45,,01-01-2023 07:51,,85,66,Yes,Weather,254,10
SH8404,11-09-2024,LAX,SEA,01-01-2023 23:53,,02-01-2023 00:44,,02-01-2023 02:38,,02-01-2023 04:24,,165,106,No,None,256,6
SH7658,22-11-2024,LAS,ORD,01-01-2023 23:58,,02-01-2023 00:46,,02-01-2023 04:33,,02-01-2023 06:12,,275,99,No,Weather,239,3
SH1472,27-06-2025,SEA,MIA,01-01-2023 07:22,,01-01-2023 09:13,,01-01-2023 11:43,,01-01-2023 11:56,,261,13,No,Crew Unavailability,214,7
SH1550,24-06-2025,SEA,JFK,01-01-2023 23:39,,02-01-2023 00:22,,02-01-2023 04:33,,02-01-2023 06:19,,294,106,No,Weather,206,1
SH1868,30-12-2024,MIA,DEN,01-01-2023 10:43,,01-01-2023 11:09,,01-01-2023 14:29,,01-01-2023 16:05,,226,96,No,Air Traffic,140,8
SH4534,15-05-2025,JFK,MIA,01-01-2023 21:21,,01-01-2023 22:12,,02-01-2023 01:04,,02-01-2023 02:06,,223,62,No,Crew Unavailability,56,6
SH9183,15-11-2024,LAX,MIA,01-01-2023 06:39,,01-01-2023 06:52,,01-01-2023 10:20,,01-01-2023 10:29,,221,9,No,Air Traffic,188,8
SH2908,08-09-2024,JFK,LAX,01-01-2023 23:48,,01-01-2023 23:56,,02-01-2023 03:51,,02-01-2023 05:15,,243,84,No,Weather,265,9
SH5994,21-08-2025,LAS,DFW,01-01-2023 07:32,,01-01-2023 08:25,,01-01-2023 10:51,,01-01-2023 11:01,,199,10,No,None,166,7
SH1479,10-10-2023,LAX,ATL,01-01-2023 20:50,,01-01-2023 21:38,,02-01-2023 00:33,,02-01-2023 01:20,,223,47,No,None,180,3
SH5320,12-05-2024,LAX,ATL,01-01-2023 04:37,,01-01-2023 05:27,,01-01-2023 10:05,,01-01-2023 10:34,,328,29,No,Technical Issue,228,5
SH4106,26-04-2023,SEA,ATL,01-01-2023 07:03,,01-01-2023 08:25,,01-01-2023 12:20,,01-01-2023 13:02,,317,42,No,Weather,97,9
SH7024,24-03-2025,MIA,ORD,01-01-2023 04:58,,01-01-2023 06:58,,01-01-2023 06:34,,01-01-2023 06:51,,96,17,No,None,187,5
SH4765,24-11-2024,JFK,MIA,01-01-2023 23:57,,02-01-2023 00:27,,02-01-2023 03:53,,02-01-2023 04:27,,236,34,No,Crew Unavailability,109,9
SH0974,03-11-2023,ORD,SFO,01-01-2023 11:17,,01-01-2023 11:57,,01-01-2023 16:23,,01-01-2023 17:07,,306,44,No,Technical Issue,297,2
SH4682,10-07-2025,ATL,SEA,01-01-2023 07:17,,01-01-2023 07:36,,01-01-2023 11:21,,01-01-2023 13:09,,244,108,No,Technical Issue,176,5
SH0318,15-10-2023,DFW,DEN,01-01-2023 16:42,,01-01-2023 17:51,,01-01-2023 21:59,,01-01-2023 22:05,,317,6,No,Weather,65,3
SH5560,18-10-2024,ORD,MIA,01-01-2023 03:03,,01-01-2023 05:00,,01-01-2023 08:26,,01-01-2023 10:21,,323,115,No,Technical Issue,122,4
SH9399,10-03-2025,ORD,SEA,01-01-2023 18:03,,01-01-2023 18:12,,01-01-2023 19:09,,01-01-2023 20:58,,66,109,No,Crew Unavailability,93,7
SH4304,27-06-2023,SFO,JFK,01-01-2023 04:33,,01-01-2023 06:20,,01-01-2023 10:29,,01-01-2023 11:34,,356,65,No,None,144,2
SH8287,09-06-2025,JFK,ORD,01-01-2023 20:47,,01-01-2023 20:54,,02-01-2023 02:42,,02-01-2023 04:01,,355,79,No,Crew Unavailability,52,7
SH7960,05-02-2024,SEA,LAX,01-01-2023 19:27,,01-01-2023 20:35,,02-01-2023 00:29,,02-01-2023 01:22,,302,53,No,Technical Issue,101,9
SH0493,28-10-2023,JFK,LAS,01-01-2023 18:44,,01-01-2023 20:13,,01-01-2023 19:54,,01-01-2023 20:44,,70,50,No,Air Traffic,208,10
SH7073,31-10-2024,ATL,ORD,01-01-2023 15:51,,01-01-2023 16:03,,01-01-2023 18:21,,01-01-2023 18:29,,150,8,No,Crew Unavailability,60,3
SH4802,14-05-2024,SEA,ORD,01-01-2023 07:23,,01-01-2023 09:02,,01-01-2023 12:10,,01-01-2023 13:53,,287,103,No,Weather,234,9
SH8309,01-09-2023,SEA,DFW,01-01-2023 15:01,,01-01-2023 16:29,,01-01-2023 16:23,,01-01-2023 16:36,,82,13,No,None,273,10
SH1927,16-09-2023,LAS,ORD,01-01-2023 11:28,,01-01-2023 12:02,,01-01-2023 15:57,,01-01-2023 16:15,,269,18,No,Weather,296,1
SH9308,24-07-2025,JFK,SEA,01-01-2023 10:19,,01-01-2023 10:46,,01-01-2023 14:08,,01-01-2023 14:17,,229,9,No,Crew Unavailability,98,7
